Query seq	Query length (nt)	Hit HOT	Hit HOMD seq name	HOMD clone name	Identities (%)	Mismatch	Identities (no gaps & non-AGCTU) (%)	Mismatch (no gaps & non-AGCTU)	Score (bits)	Query Start	Sbjct Start	Query End	Sbjct End
B902612_E04_JTC_WGACA62139_F_WGACA62139	781	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.1	15/783	98.3	13/781	1342	1	144	781	926
	
B902612_F07_JTC_WGACA62166_F_WGACA62166	777	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.3	13/779	98.6	11/777	1344	1	136	777	914
	
B902612_F21_JTC_WGACA62180_F_WGACA62180	815	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	97.9	17/817	98.2	15/815	1395	1	98	815	914
	
B902612_H13_JTC_WGACA62220_F_WGACA62220	361	151	151_K168 	Selenomonas sputigena | HOT_151 | Clone__K168 | GB_GQ422722 | Named | G | 4	97.2	10/362	97.5	9/361	605	1	144	361	505
	
B902612_N19_JTC_WGACA62370_F_WGACA62370	811	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.4	13/813	98.6	11/811	1406	1	136	811	948
	
B902613_E04_JTC_WGACA62139_R_WGACA62139	829	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.8	2/829	99.8	2/829	1487	1	1376	829	548
	
B902613_F07_JTC_WGACA62166_R_WGACA62166	742	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.9	1/742	99.9	1/742	1333	1	1334	742	593
	
B902613_F21_JTC_WGACA62180_R_WGACA62180	884	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.2	7/885	99.3	6/884	1561	1	1439	884	555
	
B902613_H13_JTC_WGACA62220_R_WGACA62220	476	151	151Ssput 	Selenomonas sputigena | HOT_151 | Strain_ATCC 35185 | GB_AF287793 | Named | G | 4	99.4	3/476	99.4	3/476	845	1	1345	476	870
	
B902613_N19_JTC_WGACA62370_R_WGACA62370	778	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.7	2/778	99.7	2/778	1395	1	1328	778	551
	
B902614_B15_JTC_WGACA62462_F_WGACA62462	717	795	795_8825 	Prevotella shahii | HOT_795 | Strain_JCM 12083 | GB_AB108825 | Named | G | 4	99.9	1/717	99.9	1/717	1288	1	136	717	852
	
B902614_D21_JTC_WGACA62516_F_WGACA62516	857	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.8	2/854	99.9	1/853	1528	4	33	857	885
	
B902614_E02_JTC_WGACA62521_F_WGACA62521	735	044	044BB120 	Campylobacter sp. | HOT_044 | Clone_BB120 | GB_AY005038 | Phylotype | X | 4	99.9	1/735	99.9	1/735	1321	1	134	735	868
	
B902614_F16_JTC_WGACA62559_F_WGACA62559	761	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.9	1/761	99.9	1/761	1368	1	137	761	897
	
B902614_I17_JTC_WGACA62632_F_WGACA62632	837	329	329BU084 	Capnocytophaga leadbetteri | HOT_329 | Clone_BU084 | GB_AF385569 | Named | G | 5	99.5	4/837	99.5	4/837	1492	1	94	837	930
	
B902614_J16_JTC_WGACA62655_F_WGACA62655	885	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.1	8/883	99.2	7/882	1553	4	33	885	915
	
B902614_K17_JTC_WGACA62680_F_WGACA62680	805	100	100EI074 	Lachnospiraceae [G-3] sp. | HOT_100 | Clone_EI074 | GB_AF385573 | Phylotype | X | 4	99.1	7/806	99.3	6/805	1418	1	93	805	898
	
B902614_N10_JTC_WGACA62745_F_WGACA62745	733	396	396_7050 	Prevotella sp. | HOT_396 | Clone_P4PB_83 | GB_AY207050 | Phylotype | X | 4	96.7	23/701	97	21/699	1153	34	172	733	871
	
B902614_O17_JTC_WGACA62776_F_WGACA62776	774	044	044BB120 	Campylobacter sp. | HOT_044 | Clone_BB120 | GB_AY005038 | Phylotype | X | 4	99.9	1/774	99.9	1/774	1391	1	95	774	868
	
B902615_B15_JTC_WGACA62462_R_WGACA62462	829	795	795_8825 	Prevotella shahii | HOT_795 | Strain_JCM 12083 | GB_AB108825 | Named | G | 4	99.9	1/829	99.9	1/829	1490	1	1361	829	533
	
B902615_D21_JTC_WGACA62516_R_WGACA62516	834	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.6	3/835	99.9	1/833	1485	1	1373	834	540
	
B902615_E02_JTC_WGACA62521_R_WGACA62521	836	044	044BB120 	Campylobacter sp. | HOT_044 | Clone_BB120 | GB_AY005038 | Phylotype | X | 4	99.8	2/836	99.8	2/836	1499	1	1345	836	510
	
B902615_F16_JTC_WGACA62559_R_WGACA62559	825	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.4	5/826	99.6	3/824	1460	1	1289	825	465
	
B902615_I17_JTC_WGACA62632_R_WGACA62632	830	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.8	2/830	99.9	1/829	1485	1	1343	830	515
	
B902615_J16_JTC_WGACA62655_R_WGACA62655	832	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/832	99.9	1/832	1496	1	1360	832	529
	
B902615_K17_JTC_WGACA62680_R_WGACA62680	760	100	100EI074 	Lachnospiraceae [G-3] sp. | HOT_100 | Clone_EI074 | GB_AF385573 | Phylotype | X | 4	99.2	6/761	99.3	5/760	1342	1	1324	760	564
	
B902615_N10_JTC_WGACA62745_R_WGACA62745	740	396	396_7050 	Prevotella sp. | HOT_396 | Clone_P4PB_83 | GB_AY207050 | Phylotype | X | 4	95.1	36/740	95.3	35/739	1169	1	1319	740	581
	
B902615_O17_JTC_WGACA62776_R_WGACA62776	878	044	044BB120 	Campylobacter sp. | HOT_044 | Clone_BB120 | GB_AY005038 | Phylotype | X | 4	99.8	2/878	99.8	2/878	1575	1	1408	878	531
	
B902616_H05_JTC_WGACA62980_F_WGACA62980	782	458	458JM053 	Aggregatibacter sp. | HOT_458 | Clone_JM053 | GB_AY349380 | Unnamed | G | 5	98.7	10/782	99	8/780	1359	1	95	782	874
	
B902616_L02_JTC_WGACA63073_F_WGACA63073	699	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.9	1/699	99.9	1/699	1256	1	133	699	831
	
B902617_H05_JTC_WGACA62980_R_WGACA62980	722	458	458JM053 	Aggregatibacter sp. | HOT_458 | Clone_JM053 | GB_AY349380 | Unnamed | G | 5	99.6	3/722	99.7	2/721	1285	1	1327	722	607
	
B902617_L02_JTC_WGACA63073_R_WGACA63073	692	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.6	3/692	99.7	2/691	1231	1	1329	692	639
	
B902617_P15_JTC_WGACA63182_R_WGACA63182	745	321	321AZ123 	Pedobacter sp. | HOT_321 | Clone_AZ123 | GB_AF385549 | Phylotype | X | 0	98.4	12/745	98.4	12/745	1290	1	1310	745	566
	
B902618_B14_JTC_WGACA63229_F_WGACA63229	614	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.8	1/614	99.8	1/614	1103	1	139	614	752
	
B902618_B18_JTC_WGACA63233_F_WGACA63233	854	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.8	2/851	99.8	2/851	1526	4	33	854	883
	
B902618_C06_JTC_WGACA63245_F_WGACA63245	815	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.6	3/815	99.6	3/815	1456	1	133	815	947
	
B902618_G12_JTC_WGACA63347_F_WGACA63347	746	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.9	1/746	99.9	1/746	1341	1	138	746	883
	
B902618_G21_JTC_WGACA63356_F_WGACA63356	753	027	027_5039 	Cupriavidus gilardii | HOT_027 | Strain_C37KA | GB_AY005039 | Named | X | 2	91.2	67/759	92.8	54/746	1061	1	133	753	884
	
B902618_H14_JTC_WGACA63373_F_WGACA63373	844	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.4	5/844	99.4	5/844	1499	1	29	844	872
	
B902618_L23_JTC_WGACA63478_F_WGACA63478	741	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.6	3/740	99.6	3/740	1321	2	133	741	872
	
